project_name,customer_name,sector,equipment_category,description,year,quantity,weight_kg,complexity,material_cost,labour_cost,engineering_cost,overhead_cost,freight_cost,total_cost,quoted_value,final_value,currency,margin_pct,outcome,lost_reason
Helix Shell & Tube Heat Exchanger (Heli Tower) - Chambal Fertilisers 2024 (2 nos),Chambal Fertilisers,Chemical,Heat Exchanger,Shell and tube heat exchanger for chemical service. carbon steel construction. Design per TEMA BKU.,2024,2,3431.6,medium,1350296.64,432468.38,264951.47,301883.18,96927.12,2446526.79,2955813.45,2955813.45,INR,17.23,won,
Helix Shell & Tube Heat Exchanger (Heli Tower) - Chambal Fertilisers 2022 (2 nos),Chambal Fertilisers,Oil & Gas,Heat Exchanger,Shell and tube heat exchanger for oil & gas service. SA-516 Gr 70 construction. Design per TEMA BEM.,2022,2,3963.95,medium,1429394.23,453854.99,307241.5,308271.91,103740.58,2602503.19,3217336.12,3217336.12,INR,19.11,won,
Helix Shell & Tube Heat Exchanger (Heli Tower) - Cipla Ltd 2024 (2 nos),Cipla Ltd,Power,Heat Exchanger,Shell and tube heat exchanger for power service. duplex stainless steel construction. Design per TEMA BKU.,2024,2,4024.68,medium,1406030.13,460374.64,310338.18,298925.7,116830.68,2592499.34,3174748.15,3174748.15,INR,18.34,won,
High Pressure Feedwater Heater - GAIL Pata 2021,GAIL Pata,Power,Heat Exchanger,Double pipe heat exchanger bundle for power. Inconel 625 construction.,2021,1,2592.1,high,1123954.25,324147.45,234596.45,219614.64,78713.35,1981026.14,2260413.21,2260413.21,INR,12.36,won,
High Pressure Feedwater Heater - BPCL Kochi 2025,BPCL Kochi,Chemical,Heat Exchanger,Shell and tube heat exchanger for chemical service. Incoloy construction. Design per TEMA BEU.,2025,1,2737.21,high,1099718.19,375053.87,207601.07,247967.67,79781.22,2010122.02,2307567.47,2307567.47,INR,12.89,won,
Integrated Fin-Type Tube Heat Exchanger - HPCL Visakhapatnam 2025,HPCL Visakhapatnam,Chemical,Heat Exchanger,Shell and tube heat exchanger for chemical service. stainless steel 316L construction. Design per TEMA BEM.,2025,1,1878.82,medium,682362.59,211098.96,129197.1,142517.74,66613.19,1231789.58,1447121.22,1447121.22,INR,14.88,won,
Integrated Fin-Type Tube Heat Exchanger - UPL Gujarat 2021,UPL Gujarat,Chemical,Heat Exchanger,Shell and tube heat exchanger for chemical service. SS 304 construction. Design per TEMA BEM.,2021,1,1901.49,medium,682090.82,215554.55,132215.72,153116.73,54329.69,1237307.5,1528106.09,1528106.09,INR,19.03,won,
Rod and Plate Type Grid Baffle Heat Exchanger - Tata Steel 2023,Tata Steel,Chemical,Heat Exchanger,"High pressure heat exchanger for chemical. stainless steel 316L tubes, CS shell. 120 bar design.",2023,1,2504.14,low,828202.06,261184.16,131542.56,186736.22,57978.63,1465643.63,1821580.45,1821580.45,INR,19.54,won,
Rod and Plate Type Grid Baffle Heat Exchanger - Reliance Industries 2021,Reliance Industries,Petrochemical,Heat Exchanger,Double pipe heat exchanger bundle for petrochemical. 2.25Cr-1Mo construction.,2021,1,2566.78,low,758996.56,267430.88,135137.6,169622.13,54688.69,1385875.85,1663916.26,1663916.26,INR,16.71,won,
Carbon Steel Reactor - Chambal Fertilisers 2023,Chambal Fertilisers,Petrochemical,Reactor,Batch reactor with jacket cooling for petrochemical. 2.25Cr-1Mo construction. 8KL capacity.,2023,1,3299.08,low,1038456.69,344931.88,161336.99,224212.99,69975.88,1838914.43,2165976.95,2165976.95,INR,15.1,won,
Carbon Steel Reactor - HPCL Visakhapatnam 2023,HPCL Visakhapatnam,Power,Reactor,Batch reactor with jacket cooling for power. SS 304 construction. 5KL capacity.,2023,1,3581.78,low,1108700.18,352981.29,183949.53,224223.58,74029.64,1943884.22,2435945.14,2435945.14,INR,20.2,won,
Low Alloy Steel Reactor (1.25Cr-0.5Mo / 2.25Cr-1Mo) - Chambal Fertilisers 2023,Chambal Fertilisers,Pharmaceutical,Reactor,Continuous stirred reactor for pharmaceutical. SA-516 Gr 70 with glass-lined internals.,2023,1,4113.05,high,1675391.71,512786.3,332987.35,363408.66,116440.75,3001014.77,3624851.76,3624851.76,INR,17.21,won,
Low Alloy Steel Reactor (1.25Cr-0.5Mo / 2.25Cr-1Mo) - MRPL Mangalore 2025,MRPL Mangalore,Chemical,Reactor,Batch reactor with jacket cooling for chemical. Cr-Mo steel construction. 20KL capacity.,2025,1,4059.49,high,1785454.58,561322.24,329984.28,391832.14,127116.5,3195709.74,3728514.46,3728514.46,INR,14.29,won,
Low Alloy Steel Reactor (1.25Cr-0.5Mo / 2.25Cr-1Mo) - Tata Chemicals 2022 (2 nos),Tata Chemicals,Power,Reactor,Inconel 625 process reactor for power. Design pressure 85 bar. ASME VIII Div 1.,2022,2,4107.57,high,1814321.13,582824.51,381855.85,404431.42,180564.02,3363996.94,4124567.12,4124567.12,INR,18.44,won,
High Pressure Clad Reactor - NFL Bathinda 2022,NFL Bathinda,Fertilizer,Reactor,Continuous stirred reactor for fertilizer. Inconel 825 with glass-lined internals.,2022,1,7150.38,high,2761765.48,933961.94,510838.76,595589.99,232892.68,5035048.84,6051741.39,6051741.39,INR,16.8,won,
High Pressure Clad Reactor - IOCL Haldia 2021 (2 nos),IOCL Haldia,Petrochemical,Reactor,Continuous stirred reactor for petrochemical. duplex stainless steel with glass-lined internals.,2021,2,8017.18,high,3083236.18,954664.54,610045.43,704456.07,219543.24,5571945.46,6310958.73,6310958.73,INR,11.71,won,
Duplex Stainless Steel Reactor - JSW Steel 2024,JSW Steel,Chemical,Reactor,Cr-Mo steel process reactor for chemical. Design pressure 100 bar. ASME VIII Div 1.,2024,1,5376.64,high,2256405.35,770848.92,461221.84,482636.29,233588.88,4204701.28,4940894.57,4940894.57,INR,14.9,won,
Duplex Stainless Steel Reactor - NTPC 2022 (2 nos),NTPC,Oil & Gas,Reactor,Batch reactor with jacket cooling for oil & gas. Incoloy 825 clad construction. 8KL capacity.,2022,2,5567.08,high,2152316.85,707619.63,455449.86,486113.58,307121.86,4108621.78,4699327.21,4699327.21,INR,12.57,won,
Standard Pressure Vessel (Carbon Steel) - Cipla Ltd 2025 (3 nos),Cipla Ltd,Chemical,Vessel,Vertical storage vessel for chemical. duplex stainless steel construction. Impact tested at -46C.,2025,3,2321.54,low,794508.09,253440.73,123845.0,166752.41,53422.13,1391968.36,1625941.32,1625941.32,INR,14.39,won,
Standard Pressure Vessel (Carbon Steel) - IOCL Barauni 2021 (3 nos),IOCL Barauni,Power,Vessel,High pressure separator vessel for power. SS 321 with demister pad. ASME VIII Div 2.,2021,3,2256.34,low,785560.9,260225.11,131056.72,174998.42,56203.18,1408044.33,1634979.48,1634979.48,INR,13.88,won,
High Pressure Vessel (Q&T Steel) - NFL Bathinda 2021 (3 nos),NFL Bathinda,Chemical,Vessel,low alloy steel pressure vessel for chemical. Design pressure 100 bar. ASME VIII Div 1.,2021,3,3488.93,high,1291574.87,447182.58,271498.64,277159.6,127478.71,2414894.4,2849096.74,2849096.74,INR,15.24,won,
High Pressure Vessel (Q&T Steel) - MRPL Mangalore 2021 (2 nos),MRPL Mangalore,Chemical,Vessel,High pressure separator vessel for chemical. Inconel 625 with demister pad. ASME VIII Div 2.,2021,2,3274.81,high,1399237.4,471066.86,269377.48,310226.46,99831.29,2549739.48,2873269.64,2873269.64,INR,11.26,won,
High Pressure Vessel (Q&T Steel) - BPCL Kochi 2023 (2 nos),BPCL Kochi,Petrochemical,Vessel,High pressure separator vessel for petrochemical. Inconel 825 with demister pad. ASME VIII Div 2.,2023,2,3147.13,high,1413054.24,437086.73,300378.04,324654.21,102700.8,2577874.02,2914828.15,2914828.15,INR,11.56,won,
Clad Pressure Vessel - Sun Pharma 2025,Sun Pharma,Oil & Gas,Vessel,SS 304 pressure vessel for oil & gas. Design pressure 100 bar. ASME VIII Div 1.,2025,1,2841.88,high,1246143.35,364205.41,235818.37,270414.73,86526.12,2203107.97,2629007.12,2629007.12,INR,16.2,won,
Clad Pressure Vessel - Essar Oil 2023,Essar Oil,Power,Vessel,Inconel 625 clad pressure vessel for power. Design pressure 150 bar. ASME VIII Div 1.,2023,1,3193.61,high,1328207.15,409665.98,255835.94,263925.17,92750.85,2350385.1,2698800.21,2698800.21,INR,12.91,won,
Clad Pressure Vessel - Tata Chemicals 2022 (2 nos),Tata Chemicals,Power,Vessel,Inconel 825 pressure vessel for power. Design pressure 85 bar. ASME VIII Div 1.,2022,2,3075.56,high,1236638.91,388218.39,246524.97,264112.33,93111.93,2228606.53,2716487.73,2716487.73,INR,17.96,won,
Duplex Stainless Steel Pressure Vessel - Tata Chemicals 2025 (3 nos),Tata Chemicals,Chemical,Vessel,Cr-Mo steel pressure vessel for chemical. Design pressure 100 bar. ASME VIII Div 1.,2025,3,4989.01,high,1870060.07,618994.54,407124.13,410395.9,136239.22,3442813.86,3972324.75,3972324.75,INR,13.33,won,
Duplex Stainless Steel Pressure Vessel - Tata Steel 2023,Tata Steel,Oil & Gas,Vessel,SS 316 pressure vessel for oil & gas. Design pressure 85 bar. ASME VIII Div 1.,2023,1,4676.99,high,1969043.29,611687.41,392875.67,382617.74,136586.08,3492810.19,4074198.29,4074198.29,INR,14.27,lost,technical
Duplex Stainless Steel Pressure Vessel - HPCL Visakhapatnam 2024 (2 nos),HPCL Visakhapatnam,Petrochemical,Vessel,Vertical storage vessel for petrochemical. duplex stainless steel construction. Impact tested at -46C.,2024,2,5363.17,high,1943976.63,611099.48,413367.29,431275.38,315715.4,3715434.17,4669977.59,4669977.59,INR,20.44,won,
Mercury Adsorber Vessel - MRPL Mangalore 2025 (2 nos),MRPL Mangalore,Chemical,Vessel,High pressure separator vessel for chemical. Inconel 625 clad with demister pad. ASME VIII Div 2.,2025,2,4526.79,high,1692761.29,588598.54,362109.76,371065.51,203923.64,3218458.74,3628885.71,3628885.71,INR,11.31,won,
Mercury Adsorber Vessel - JSW Steel 2023,JSW Steel,Power,Vessel,High pressure separator vessel for power. Inconel 625 with demister pad. ASME VIII Div 2.,2023,1,4008.74,high,1701822.13,525583.18,344335.64,388927.69,121087.51,3081756.15,3775736.52,3775736.52,INR,18.38,won,
Distillation Column - NTPC 2021,NTPC,Oil & Gas,Column,Absorption column for oil & gas. stainless steel 316L internals. stainless steel 316L shell.,2021,1,3768.91,medium,1438246.71,457709.17,266908.18,283852.63,100936.98,2547653.67,3083953.12,3083953.12,INR,17.39,won,
Distillation Column - GAIL Pata 2025,GAIL Pata,Petrochemical,Column,Absorption column for petrochemical. Inconel 625 clad internals. Inconel 625 clad shell.,2025,1,3628.13,medium,1400155.59,462322.0,275951.63,272673.2,98781.3,2509883.72,3066443.15,3066443.15,INR,18.15,won,
Absorption Column - SAIL Bokaro 2021 (2 nos),SAIL Bokaro,Chemical,Column,Absorption column for chemical. Inconel 625 clad internals. Inconel 625 clad shell.,2021,2,3164.38,medium,1239361.0,409227.25,233080.05,270858.34,87462.9,2239989.53,2585995.76,2585995.76,INR,13.38,won,
Absorption Column - Tata Chemicals 2024 (2 nos),Tata Chemicals,Power,Column,Distillation column for power. Cr-Mo steel with structured packing. Height 40m.,2024,2,3475.02,medium,1333455.49,423191.73,246301.03,278311.19,94957.92,2376217.36,2862912.48,2862912.48,INR,17.0,lost,price
Site-Fabricated Column and Tower - NTPC Kudgi 2023 (2 nos),NTPC Kudgi,Chemical,Column,Absorption column for chemical. Inconel 825 internals. Inconel 825 shell.,2023,2,9616.69,low,2860349.63,1003139.84,464470.03,659850.48,203861.09,5191671.06,6253518.5,6253518.5,INR,16.98,won,
Site-Fabricated Column and Tower - Chambal Fertilisers 2024 (2 nos),Chambal Fertilisers,Oil & Gas,Column,Stripping column for oil & gas. stainless steel 316L construction. Sieve tray design.,2024,2,8022.69,low,2814114.14,945815.56,443319.95,585649.06,194087.25,4982985.96,6093904.81,6093904.81,INR,18.23,won,
Scrubber Column (Pollution Control) - BASF India 2025 (2 nos),BASF India,Power,Column,Stripping column for power. low alloy steel construction. Sieve tray design.,2025,2,3397.24,low,1129436.67,370053.37,182412.98,238513.35,78273.9,1998690.27,2421774.23,2421774.23,INR,17.47,won,
Scrubber Column (Pollution Control) - Hindustan Zinc 2024 (3 nos),Hindustan Zinc,Power,Column,Absorption column for power. Duplex SS 2205 internals. Duplex SS 2205 shell.,2024,3,3812.9,low,1114712.72,398415.05,182443.45,259191.32,79964.29,2034726.84,2361019.77,2361019.77,INR,13.82,won,
Scrubber Column (Pollution Control) - NTPC 2021 (2 nos),NTPC,Oil & Gas,Column,Distillation column for oil & gas. SS 304L with structured packing. Height 15m.,2021,2,3246.12,low,1076563.24,348163.44,168206.41,228377.94,74097.17,1895408.2,2290246.74,2290246.74,INR,17.24,won,
High Pressure Boiler Drum (Super-Critical) - Reliance Industries 2024,Reliance Industries,Power,Boiler Drum,High pressure boiler drum for power. SS 316L construction. 40 bar MAWP.,2024,1,8012.28,high,2880403.37,903446.72,580369.46,605501.02,506014.64,5475735.2,6347942.5,6347942.5,INR,13.74,won,
High Pressure Boiler Drum (Super-Critical) - NTPC Kudgi 2022,NTPC Kudgi,Petrochemical,Boiler Drum,High pressure boiler drum for petrochemical. Inconel 625 construction. 85 bar MAWP.,2022,1,6945.82,high,2892326.0,901899.1,575709.58,591077.01,206230.84,5167242.53,6216605.55,6216605.55,INR,16.88,won,
High Pressure Boiler Drum (Super-Critical) - BASF India 2023 (2 nos),BASF India,Oil & Gas,Boiler Drum,High pressure boiler drum for oil & gas. duplex stainless steel construction. 85 bar MAWP.,2023,2,8283.02,high,3177862.25,983242.44,600243.95,735782.75,226416.51,5723547.91,7068726.58,7068726.58,INR,19.03,won,
Medium Pressure Boiler Drum - IOCL Haldia 2025 (3 nos),IOCL Haldia,Power,Boiler Drum,High pressure boiler drum for power. SS 316 construction. 85 bar MAWP.,2025,3,5051.55,high,1977130.5,627422.09,401376.29,440606.42,137626.39,3584161.69,4384832.02,4384832.02,INR,18.26,won,
Medium Pressure Boiler Drum - BPCL Kochi 2023 (2 nos),BPCL Kochi,Power,Boiler Drum,Steam drum package for power. stainless steel 316L with internals. Hydrostatically tested.,2023,2,4059.28,high,1699216.92,602867.16,342925.31,380830.24,193077.11,3218916.74,3679182.47,3679182.47,INR,12.51,won,
Medium Pressure Boiler Drum - GAIL Vijaipur 2021 (2 nos),GAIL Vijaipur,Petrochemical,Boiler Drum,Steam drum package for petrochemical. Duplex SS 2205 with internals. Hydrostatically tested.,2021,2,5014.18,high,1842031.23,622448.59,391816.72,407215.19,188979.17,3452490.9,4132739.89,4132739.89,INR,16.46,lost,price
DRI Waste Heat Recovery Boiler - Reliance Industries 2021 (3 nos),Reliance Industries,Power,Waste Heat Recovery Boiler,Waste heat recovery boiler for power. Inconel 825 construction. Captures waste heat from process gas.,2021,3,5858.5,low,2053740.98,660931.21,342695.47,422400.31,138249.77,3618017.75,4071135.08,4071135.08,INR,11.13,won,
DRI Waste Heat Recovery Boiler - MRPL Mangalore 2024,MRPL Mangalore,Petrochemical,Waste Heat Recovery Boiler,Heat recovery steam generator for petrochemical. Incoloy tubes. Natural circulation design.,2024,1,7428.47,low,2336757.82,793518.05,405859.66,534815.57,167875.6,4238826.7,5295885.43,5295885.43,INR,19.96,won,
DRI Waste Heat Recovery Boiler - Cipla Ltd 2023,Cipla Ltd,Power,Waste Heat Recovery Boiler,Waste heat recovery boiler for power. Inconel 825 construction. Captures waste heat from process gas.,2023,1,5994.98,low,2106602.01,680029.03,344674.13,477874.62,147254.38,3756434.17,4376598.12,4376598.12,INR,14.17,won,
Coke Oven Waste Heat Recovery Boiler - Gujarat State Fertilizers 2025,Gujarat State Fertilizers,Power,Waste Heat Recovery Boiler,Waste heat recovery boiler for power. Cr-Mo steel construction. Captures waste heat from process gas.,2025,1,5872.08,high,2511012.51,795826.13,451223.07,548712.21,173373.78,4480147.69,5336050.13,5336050.13,INR,16.04,won,
Coke Oven Waste Heat Recovery Boiler - UPL Gujarat 2022,UPL Gujarat,Chemical,Waste Heat Recovery Boiler,Heat recovery steam generator for chemical. Inconel 825 tubes. Natural circulation design.,2022,1,6182.32,high,2199024.88,775516.14,442254.84,491719.12,313140.35,4221655.33,4810455.03,4810455.03,INR,12.24,won,
Cement Waste Heat Recovery Boiler - NFL Bathinda 2025,NFL Bathinda,Power,Waste Heat Recovery Boiler,Waste heat recovery boiler for power. duplex stainless steel construction. Captures waste heat from process gas.,2025,1,6287.05,low,2216345.26,707292.07,366637.79,457421.83,152079.16,3899776.11,4904761.8,4904761.8,INR,20.49,won,
Cement Waste Heat Recovery Boiler - Reliance Industries 2023 (2 nos),Reliance Industries,Chemical,Waste Heat Recovery Boiler,Waste heat recovery boiler for chemical. Incoloy 825 clad construction. Captures waste heat from process gas.,2023,2,6082.77,low,1902029.0,627362.13,317830.21,405165.11,130900.0,3383286.45,4050384.83,4050384.83,INR,16.47,won,
Cement Waste Heat Recovery Boiler - Sun Pharma 2024,Sun Pharma,Power,Waste Heat Recovery Boiler,Waste heat recovery boiler for power. Inconel 825 construction. Captures waste heat from process gas.,2024,1,6079.66,low,2147408.88,733185.4,350878.54,463911.72,150712.15,3846096.69,4423342.94,4423342.94,INR,13.05,won,
Synthesis Loop Waste Heat Boiler (TEi License) - Reliance Industries 2022 (2 nos),Reliance Industries,Fertilizer,Waste Heat Recovery Boiler,Waste heat recovery boiler for fertilizer. Inconel 625 construction. Captures waste heat from process gas.,2022,2,7259.84,high,2940465.92,956435.12,574689.17,676949.3,212422.65,5360962.16,6693672.32,6693672.32,INR,19.91,won,
Synthesis Loop Waste Heat Boiler (TEi License) - NTPC 2024,NTPC,Chemical,Waste Heat Recovery Boiler,Heat recovery steam generator for chemical. Incoloy 825 clad tubes. Natural circulation design.,2024,1,6594.48,high,2844378.81,959637.07,584991.97,661931.76,209896.47,5260836.08,6559645.99,6559645.99,INR,19.8,lost,price
Process Gas Waste Heat Boiler with Steam Drum - Essar Oil 2021,Essar Oil,Power,Waste Heat Recovery Boiler,Waste heat recovery boiler for power. Cr-Mo steel construction. Captures waste heat from process gas.,2021,1,7679.35,low,2420726.36,852072.4,436132.4,528851.54,174946.13,4412728.82,5192056.5,5192056.5,INR,15.01,lost,technical
Process Gas Waste Heat Boiler with Steam Drum - NTPC 2022 (2 nos),NTPC,Petrochemical,Waste Heat Recovery Boiler,Heat recovery steam generator for petrochemical. SS 321 tubes. Natural circulation design.,2022,2,6817.02,low,2221500.31,731809.67,373012.52,482003.68,155307.41,3963633.59,4538165.32,4538165.32,INR,12.66,won,
Process Gas Waste Heat Boiler with Steam Drum - BPCL Kochi 2022 (2 nos),BPCL Kochi,Petrochemical,Waste Heat Recovery Boiler,Heat recovery steam generator for petrochemical. 2.25Cr-1Mo tubes. Natural circulation design.,2022,2,6417.44,low,2200073.64,717268.95,355753.36,477162.11,155737.86,3905995.93,4441660.14,4441660.14,INR,12.06,lost,price
Coke Drum (Delayed Coking Unit) - BPCL Kochi 2024,BPCL Kochi,Oil & Gas,Coke Drum,Coke drum for oil & gas. SS 316 with special thermal cycling design. Heavy wall construction.,2024,1,12422.82,high,4924564.72,1580136.15,987945.01,1122436.65,525070.17,9140152.7,10554448.85,10554448.85,INR,13.4,won,
Coke Drum (Delayed Coking Unit) - Chambal Fertilisers 2024 (2 nos),Chambal Fertilisers,Power,Coke Drum,Coke drum for power. Incoloy 825 clad with special thermal cycling design. Heavy wall construction.,2024,2,11872.41,high,5105399.09,1627126.17,931728.19,1120434.81,356876.5,9141564.76,10301515.39,10301515.39,INR,11.26,won,
Coke Drum (Heavy Wall Special Grade) - UPL Gujarat 2022,UPL Gujarat,Oil & Gas,Coke Drum,Coke drum for oil & gas. duplex stainless steel with special thermal cycling design. Heavy wall construction.,2022,1,20391.96,low,7046661.27,2219319.3,1181689.28,1510733.0,483662.19,12442065.04,15180655.25,15180655.25,INR,18.04,won,
Coke Drum (Heavy Wall Special Grade) - JSW Steel 2024 (3 nos),JSW Steel,Oil & Gas,Coke Drum,Coke drum for oil & gas. SA-516 Gr 70 with special thermal cycling design. Heavy wall construction.,2024,3,18421.54,low,6294669.74,2165145.23,1060148.88,1417862.97,455468.29,11393295.12,12811531.68,12811531.68,INR,11.07,won,
